;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
388;33093;44412;4050088;-23.548.000.000.000.000;-46.636;AMA UBS INTEGRADA JD BRASILIA;AV OSVALDO DO VALLE CORDEIRO;245;JD BRASILIA;(11)27416938;3584000.0;SP;São Paulo;2016;5;-23.5550048;-46.4919843;Av. Osvaldo Valle Cordeiro, 245 - Jardim Brasilia, São Paulo - SP, 03584-000, Brazil
389;33096;44402;4049969;-23.548.000.000.000.000;-46.636;UBS PREFEITO PRESTES MAIA;RUA INACIO PINTO LIMA;35;CIDADE TIRADENTES;(11)2555-5587;8490020.0;SP;São Paulo;2016;5;-23.5661598;-46.4087665;R. Inácio Pinto Lima, 35 - Conj. Res. Prestes Maia, São Paulo - SP, 08490-020, Brazil
390;33120;44522;5079454;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J CELESTE;RUA JOAO FERNANDES CAMISA NOVA JUNIOR;865;J CELESTE;11 - 58123738;5844000.0;SP;São Paulo;2016;5;-23.6566715;-46.7414687;R. João Fernandes Camisa Nova Júnior, 865 - Jardim São Luís (Zona Oeste), São Paulo - SP, 05844-000, Brazil
391;33157;45028;5695813;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J MARACA;R FERES BECHARA;506;JARDIM MARACA;;5867390.0;SP;São Paulo;2016;5;-23.6716433;-46.7727496;Rua Feres Bechara, 506 - Capão Redondo, São Paulo - SP, 05867-390, Brazil
392;33251;44973;5621267;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J FLOR DE MAIO;AV NOVA PAULISTA;561;J FLOR DE MAIO;(11)35984199;2363000.0;SP;São Paulo;2016;5;-23.4312857;-46.5750585;Av. Nova Paulista, 561 - Jardim Flor de Maio, São Paulo - SP, 02363-000, Brazil
393;33282;44972;5620341;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J MAGDALENA;RUA VITORINO PALHARES;221;J MAGDALENA;;5890320.0;SP;São Paulo;2016;5;-23.666874;-46.7924898;R. Vitóriano Palhares, 221 - Capão Redondo, São Paulo - SP, 05890-320, Brazil
394;33310;45071;5743583;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CIDADE IPAVA;AV TAQUANDAVA;31;CIDADE IPAVA;(11)5898-5300;4950000.0;SP;São Paulo;2016;5;-23.7171646;-46.7654632;Av. Taquandava, 31 - Jardim Angela, São Paulo - SP, 04950-000, Brazil
395;33519;44846;5479517;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS V CARIOCA;RUA ANTONIO FREDERICO;117;VILA INDEPENDENCIA;2273 9707;4224030.0;SP;São Paulo;2016;5;-23.5967402;-46.5949857;R. Antônio Frederico, 117 - Vila Independencia, São Paulo - SP, 04224-030, Brazil
396;33533;45436;6269567;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS ATUALPA GIRAO RABELO;RUA ILHA DO ARVOREDO;10;VL MORGADOURO;29632634;8140270.0;SP;São Paulo;2016;5;-23.5088352;-46.3980422;R. Ilha do Arvoredo, 10 - Vila Morgadouro, São Paulo - SP, 08140-270, Brazil
397;33558;45258;6018939;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS COLONIA;RUA NOSSA SENHORA APARECIDA;342;COLONIA PAULISTA;(011) 5977-3269;4892230.0;SP;São Paulo;2016;5;-23.8483668;-46.6970564;Colônia Paulista - - R. Nossa Sra. Aparecida, 1A, São Paulo - SP, 04892-220, Brazil
